QuestionPicture;RightAnswer;UserAnswer;ElapsedTime
D:\git\NeurotestService\NeurotestClient\NeurotestClient\DataBase\Pictures\Sadness\Sadness31.jpg;Sadness;Sadness;0,89
D:\git\NeurotestService\NeurotestClient\NeurotestClient\DataBase\Pictures\Happiness\Happiness23.jpg;Happiness;Happiness;1,31
D:\git\NeurotestService\NeurotestClient\NeurotestClient\DataBase\Pictures\Anger\Anger24.jpg;Anger;Anger;2,15
D:\git\NeurotestService\NeurotestClient\NeurotestClient\DataBase\Pictures\Fear\Fear16.jpg;Fear;Fear;1,80
D:\git\NeurotestService\NeurotestClient\NeurotestClient\DataBase\Pictures\Disgust\Disgust12.jpg;Disgust;Disgust;2,01
D:\git\NeurotestService\NeurotestClient\NeurotestClient\DataBase\Pictures\Fear\Fear35.jpg;Fear;Fear;1,72
D:\git\NeurotestService\NeurotestClient\NeurotestClient\DataBase\Pictures\Happiness\Happiness38.jpg;Happiness;Happiness;1,02
D:\git\NeurotestService\NeurotestClient\NeurotestClient\DataBase\Pictures\Fear\Fear37.jpg;Fear;Fear;2,36
D:\git\NeurotestService\NeurotestClient\NeurotestClient\DataBase\Pictures\Disgust\Disgust26.jpg;Disgust;Disgust;1,23
D:\git\NeurotestService\NeurotestClient\NeurotestClient\DataBase\Pictures\Fear\Fear17.jpg;Fear;Fear;2,33
D:\git\NeurotestService\NeurotestClient\NeurotestClient\DataBase\Pictures\Sadness\Sadness36.jpg;Sadness;Sadness;1,05
D:\git\NeurotestService\NeurotestClient\NeurotestClient\DataBase\Pictures\Happiness\Happiness15.jpg;Happiness;Happiness;2,35
D:\git\NeurotestService\NeurotestClient\NeurotestClient\DataBase\Pictures\Astonishment\Astonishment36.jpg;Astonishment;Astonishment;0,92
D:\git\NeurotestService\NeurotestClient\NeurotestClient\DataBase\Pictures\Astonishment\Astonishment13.jpg;Astonishment;Astonishment;0,90
D:\git\NeurotestService\NeurotestClient\NeurotestClient\DataBase\Pictures\Fear\Fear25.jpg;Fear;Astonishment;0,93
D:\git\NeurotestService\NeurotestClient\NeurotestClient\DataBase\Pictures\Disgust\Disgust37.jpg;Disgust;Disgust;1,30
D:\git\NeurotestService\NeurotestClient\NeurotestClient\DataBase\Pictures\Astonishment\Astonishment11.jpg;Astonishment;Fear;2,22
D:\git\NeurotestService\NeurotestClient\NeurotestClient\DataBase\Pictures\Fear\Fear24.jpg;Fear;Astonishment;3,77
D:\git\NeurotestService\NeurotestClient\NeurotestClient\DataBase\Pictures\Astonishment\Astonishment35.jpg;Astonishment;Astonishment;3,64
D:\git\NeurotestService\NeurotestClient\NeurotestClient\DataBase\Pictures\Sadness\Sadness28.jpg;Sadness;Sadness;1,04
D:\git\NeurotestService\NeurotestClient\NeurotestClient\DataBase\Pictures\Sadness\Sadness27.jpg;Sadness;Sadness;2,62
D:\git\NeurotestService\NeurotestClient\NeurotestClient\DataBase\Pictures\Anger\Anger10.jpg;Anger;Anger;3,11
D:\git\NeurotestService\NeurotestClient\NeurotestClient\DataBase\Pictures\Anger\Anger33.jpg;Anger;Anger;0,78
D:\git\NeurotestService\NeurotestClient\NeurotestClient\DataBase\Pictures\Astonishment\Astonishment214.jpg;Astonishment;Astonishment;1,25
D:\git\NeurotestService\NeurotestClient\NeurotestClient\DataBase\Pictures\Sadness\Sadness13.jpg;Sadness;Sadness;1,63
D:\git\NeurotestService\NeurotestClient\NeurotestClient\DataBase\Pictures\Anger\Anger16.jpg;Anger;Anger;1,80
D:\git\NeurotestService\NeurotestClient\NeurotestClient\DataBase\Pictures\Happiness\Happiness19.jpg;Happiness;Happiness;1,44
D:\git\NeurotestService\NeurotestClient\NeurotestClient\DataBase\Pictures\Happiness\Happiness27.jpg;Happiness;Happiness;1,85
D:\git\NeurotestService\NeurotestClient\NeurotestClient\DataBase\Pictures\Sadness\Sadness18.jpg;Sadness;Sadness;0,86
D:\git\NeurotestService\NeurotestClient\NeurotestClient\DataBase\Pictures\Disgust\Disgust17.jpg;Disgust;Sadness;2,31
D:\git\NeurotestService\NeurotestClient\NeurotestClient\DataBase\Pictures\Astonishment\Astonishment26.jpg;Astonishment;Astonishment;0,95
D:\git\NeurotestService\NeurotestClient\NeurotestClient\DataBase\Pictures\Anger\Anger37.jpg;Anger;Anger;1,49
D:\git\NeurotestService\NeurotestClient\NeurotestClient\DataBase\Pictures\Disgust\Disgust34.png;Disgust;Disgust;1,28
D:\git\NeurotestService\NeurotestClient\NeurotestClient\DataBase\Pictures\Disgust\Disgust28.jpg;Disgust;Disgust;0,91
D:\git\NeurotestService\NeurotestClient\NeurotestClient\DataBase\Pictures\Anger\Anger27.jpg;Anger;Disgust;1,18
D:\git\NeurotestService\NeurotestClient\NeurotestClient\DataBase\Pictures\Happiness\Happiness36.jpg;Happiness;Anger;4,20
